IDCC;Operateur de competences;Libelle;obs
2543;OPCO ATLAS;Convention collective nationale des cabinets ou entreprises de geometres experts, geometres topographes photogrammetres, experts-fonciers;
2564;OPCO entreprises de proximite;Convention collective nationale des veterinaires praticiens salaries;
2583;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale de branche des societes concessionnaires ou exploitantes d'autoroutes ou d'ouvrages routiers;
2596;OPCO entreprises de proximite;Convention collective nationale de la coiffure et des professions connexes;
2603;OPCO Cohesion sociale;Convention collective nationale de travail des praticiens conseils du regime general de securite sociale;
2609;OPCO Construction;Convention collective nationale des employes, techniciens et agents de maetrise du betiment;
2614;OPCO Construction;Convention collective nationale des employes, techniciens et agents de maetrise des travaux publics;
2622;OPCO ATLAS;Convention collective du credit maritime mutuel;
2642;AFDAS;Convention collective de la production audiovisuelle;
2666;OPCO Cohesion sociale;Convention collective nationale des conseils d'architecture, d'urbanisme et de l'environnement;
2668;OPCO Cohesion sociale;Convention collective nationale de travail des cadres superieurs des societes de secours minieres et de leurs etablissements, des unions regionales et des assistants sociaux regionaux;
2683;AFDAS;Convention collective nationale du portage de presse;
2691;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale de l'enseignement prive independant (hors contrat);
2697;OPCO entreprises de proximite;Convention collective nationale des personnels des structures associatives cynegetiques;
2706;OPCO entreprises de proximite;Convention collective nationale du personnel des administrateurs et des mandataires judiciaires;
2717;AFDAS;Convention collective nationale des entreprises techniques au service de la creation et de l'evenement;
2727;OPCO Cohesion sociale;Convention collective nationale des omnipraticiens exereant dans les centres de sante miniers;
2728;OCAPIAT;Convention collective nationale des sucreries, sucreries-distilleries et raffineries de sucre;
2768;OPCO Cohesion sociale;Convention collective national de travail des pharmaciens du regime minier;
2770;AFDAS;Convention collective nationale de l'edition phonographique;
2785;OPCO entreprises de proximite;Convention collective nationale des societes de ventes volontaires de meubles aux encheres publiques et des offices de commissaires-priseurs judiciaires;
2793;OPCO Cohesion sociale;Convention collective de travail du 25 juin 1968 des agents de direction et des agents-comptables des organismes de securite sociale et d'allocations familiales;
2796;OPCO Cohesion sociale;Convention collective du personnel de direction du regime social des independants, ses annexes et son accord d'application;
2797;OPCO Cohesion sociale;Convention collective nationale speciale de travail des praticiens conseils du regime social des independants et son annexe 1 relative e l'ARTT;
2798;OPCO Cohesion sociale;Convention collective des employes et cadres du regime social des independants, ses annexes 1 e 6 et son accord d'application;
2847;OPCO Cohesion sociale;Convention collective nationale de Pele Emploi;
2931;OPCO ATLAS;Convention collective nationale des activites de marches financiers;
2941;OPCO Cohesion sociale;Convention collective de la branche de l'aide, de l'accompagnement, des soins et des services e domicile;
2972;OPCO Mobilite;Convention collective du personnel sedentaire des entreprises de navigation;
2978;OPCO entreprises de proximite;Convention collective nationale du personnel salarie des agences de recherches privees;
3013;OPCO entreprises de proximite;Convention collective nationale de la librairie;
3016;OPCO Cohesion sociale;Convention collective des ateliers chantiers d'insertion;
3017;OPCO Mobilite;Convention collective nationale unifiee ports et manutention;
3032;OPCO entreprises de proximite;Convention collective nationale de l'esthetique - cosmetique et de l'enseignement technique et professionnel lies aux metiers de l'esthetique et de la parfumerie;
3043;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des entreprises de proprete et services associes du 26 juillet 2011;
3090;AFDAS;Convention collective nationale des entreprises du secteur prive du spectacle vivant;
3097;AFDAS;Convention collective nationale de la production cinematographique;
3105;OPCO Cohesion sociale;Convention collective nationale des regies de quartier;
3109;OCAPIAT;Convention collective nationale des 5 branches industries alimentaires diverses;
3127;OPCO entreprises de proximite;Convention collective nationale des entreprises de services e la personne du 20 septembre 2012;
3168;OPCO Commerce;Convention collective Nationale des professions de la photographie;
3203;OCAPIAT;Convention collective des structures associatives de peche de loisir et de protection du milieu aquatique;
3205;OPCO Commerce;Convention collective nationale du personnel des cooperatives de consommation;
3210;OPCO ATLAS;Convention collective de la banque populaire;
3212;OPCO Construction;Convention collective nationale des cadres des travaux publics;
3213;OPCO ATLAS;Convention collective nationale des collaborateurs salaries des entreprises d'economistes de la construction et des metreurs-verificateurs;
3216;OPCO Construction;Convention collective nationale des salaries du negoce des materiaux de construction;
3217;OPCO Mobilite;Convention collective nationale ferroviaire;
3218;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale de l'enseignement prive non lucratif (EPNL);
3219;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale de branche des salaries en portage salarial;
3220;OPCO Cohesion sociale;Convention collective nationale des offices publics de l'habitat;
3221;AFDAS;Convention collective nationale des agences de presse;
3223;OPCO Mobilite;Convention collective nationale des officiers des entreprises de transport et services maritimes;
3224;OPCO 2i;"Convention collective nationale de la distribution des papiers-cartons ; commerce de gros";
3225;AFDAS;Convention collective nationale des employes et des cadres des editeurs de la presse magazine;
3227;OPCO 2i;Convention collective nationale des industries de la fabrication de la chaux;Arrete du 9 mai 2019 (JO du 1er juin 2019) : 3151 remplace par 3227 
3228;OPCO Mobilite;Convention collective nationale du groupement des armateurs de service de passages d'eau - personnel navigant;
3230;AFDAS;Convention collective nationale des employes de la presse d'information specialisee;
5001;OPCO 2i;Statut des industries electriques et gazieres;
5005;OPCO ATLAS;Branche des caisses d'epargne ;Arrete du 9 mai 2019 (JO du 1er juin 2019)
5521;OPCO Mobilite;Convention collective nationale du personnel navigant d'execution du transport maritime;
5554;OPCO Mobilite;Convention collective nationale des officiers du remorquage maritime;
5555;OPCO Mobilite;Convention collective nationale des navigants d'execution du remorquage maritime;
5556;OPCO Mobilite;Convention collective nationale des personnels officiers des passages d'eau;
